track_id,name,artist,songwriters,duration,genres,album,created_at,updated_at
11373,industry,Monica Fisher,Lisa Ruiz,05:28,rather,before,2024-04-24T07:16:34.929789,2024-03-28T18:15:03.823800
77985,sure,Victoria Oneal,Daniel Smith,51:36,lead,have,2023-12-25T22:42:15.983911,2024-05-31T16:51:38.867391
78607,hair,Heather Johnson,Lori Stevens,07:26,carry,very,2023-07-21T05:47:05.744628,2024-08-19T13:23:54.490465
19754,she,Roger Tucker,Hannah Phillips,49:03,character,nature,2024-03-10T22:31:10.463022,2024-04-19T07:04:24.633709
81934,film,Rhonda Nash,Tyler Harris,20:30,rich,example,2024-01-14T07:16:01.234169,2024-06-09T09:22:55.289638
12056,generation,Ryan Nguyen,April Houston,04:54,tough,soldier,2023-12-13T13:32:03.585047,2024-05-20T03:27:02.887580
62846,anyone,Kimberly Walters,Kyle Hammond,54:10,type,individual,2024-01-23T22:57:51.178531,2024-11-01T15:54:40.863375
57247,political,Edward Haynes,Joshua Barnes,27:43,full,movement,2023-05-29T18:18:09.781016,2024-06-27T19:08:56.733924
35981,century,Stephanie Herrera,Heather Gonzales,08:13,there,station,2024-01-28T03:42:18.671231,2024-04-08T04:17:07.265663
33932,occur,Joseph Smith,Amy Calderon,02:57,argue,control,2024-06-06T03:08:21.140191,2024-05-18T19:17:19.366501
6371,care,Kelly Butler,Stephen Lopez,05:59,cup,then,2024-07-03T04:28:43.514546,2024-09-17T14:37:58.845145
92570,quite,Cynthia Wright,Wesley Sanchez,42:18,pattern,cultural,2023-03-06T03:03:04.181245,2024-06-17T07:30:41.546823
20655,common,John Houston,Kyle Guerrero,10:52,hard,wind,2024-10-27T04:47:22.459951,2024-01-15T01:04:09.285883
91574,sign,Jeffrey Anderson,Tracy King,31:15,decade,recent,2024-03-15T01:38:31.442914,2024-04-11T02:48:56.159042
20623,process,Mary Watson,Susan Contreras,39:10,cover,machine,2023-08-16T03:41:16.288726,2024-10-07T23:01:01.602773
80721,face,Michael Price,Brenda Smith,22:50,include,condition,2022-11-09T18:41:24.703840,2023-11-27T19:25:09.727004
15780,American,William Maxwell,Tiffany Allen,56:58,store,event,2023-06-02T20:29:22.667298,2023-11-28T12:46:39.533236
64044,charge,Ralph Powell,Veronica Miller,05:26,military,pressure,2023-08-23T02:04:53.387932,2024-06-01T04:02:26.241170
53683,learn,Crystal Mason,Mr. Kevin Johnson,54:40,seven,candidate,2023-05-03T19:14:16.798406,2024-03-16T16:53:36.143212
73784,agree,Tina Cox,Edward Rubio,06:27,why,measure,2024-06-19T17:19:08.674977,2024-09-02T12:19:30.653291
